image_uri,split,label
/home/jupyter/gcs/catsdogs/train/cats/cat.0.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.1.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.10.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.100.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.101.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.102.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.103.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.104.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.105.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.106.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.107.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.108.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.109.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.11.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.110.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.111.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.112.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.113.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.114.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.115.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.116.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.117.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.118.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.119.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.12.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.120.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.121.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.122.jpg,TRAIN,cats
/home/jupyter/gcs/catsdogs/train/cats/cat.123.jpg,TRAIN,cats
